Unnamed: 0,项目编码,项目名称,角色,姓名
0,-,河北省保定市涞源县1.5MW光伏项目,项目经理(主责),梁莹
1,TZ-2025-HB-000468,河北邢台巨鹿200MW风电项目,项目经理,蒋雨菁
2,TZ-2020-XJ-000072,新疆木垒大石头第五风电场200MW项目,项目经理,蒋雨菁
3,TZ-2024-XZ-000447,西藏那曲色尼区200MW风电项目,项目经理,蒋雨菁
4,TZ-2024-XZ-000449,西藏林芝工布江达200MW光伏项目,项目经理,蒋雨菁
5,TZ-2024-XZ-000448,西藏林芝朗县200MW风电项目,项目经理,蒋雨菁
6,TZ-2025-JS-000495,江苏南通海门80MW光伏项目,项目经理(主责),蒋雨菁
7,TZ-2024-SD-000417,山东滨州北海晟日100MW风电项目,项目经理,蒋雨菁
8,TZ-2024-GQJJ-000402,中国航空工业新能源投资有限公司股权投资项目,项目经理,蒋雨菁
9,TZ-2024-XZ-000376,西藏那曲色尼100MW光伏项目,项目经理,蒋雨菁
10,TZ-2023-SD-000097,山东寿光扬光50MW光伏项目,项目经理,蒋雨菁
11,TZ-2020-XJ-000072,新疆木垒大石头第五风电场200MW项目,项目经理,蒋雨菁
12,TZ-2020-XJ-000074,新疆奇台新科100MW风电项目,项目经理,蒋雨菁
13,TZ-2016-SD-600067,山东夏津田庄100MW+新盛100MW风电项目,项目经理,蒋雨菁
14,TZ-2017-SD-000068,山东夏津新盛100MW风电项目（二期）,项目经理,蒋雨菁
15,TZ-2016-SD-000067,山东夏津田庄100MW风电项目（一期）,项目经理,蒋雨菁
16,TZ-2020-XJ-000073,新疆北塔山华风汇能100MW风电项目,项目经理,蒋雨菁
17,TZ-2020-XJ-000071,新疆木垒大石头第三风电场100MW项目,项目经理,蒋雨菁
18,TZ-2018-LN-000011,辽宁大连中车12MW分布式光伏项目,项目部(成员),张禹凡
19,TZ-2018-LN-000011,辽宁大连中车12MW分布式光伏项目,项目部(经理),王国鑫
20,TZ-2025-GD-000490,广东韶关翁源县新江100MW风电项目,项目成员,杨雨澄
21,TZ-2021-SX-000118,山西芮城九广20MW分散式风电项目,项目经理,曲静
22,TZ-2015-HE-000014,河北曲阳庄窠20MW光伏项目,项目部(经理),胡禹铭
23,TZ-2015-HE-000015,河北曲阳郎家庄20MW光伏项目,项目部(经理),胡禹铭
24,TZ-2015-HE-000017,河北涉县龙虎20MW光伏项目,项目部(经理),胡禹铭
25,TZ-2017-HE-000020,河北涞源斜山30MW光伏项目,项目部(经理),胡禹铭
26,TZ-2018-HE-000021,河北涞源三期10MW光伏项目,项目部(经理),胡禹铭
27,TZ-2023-SX-000368,山西闻喜开奥100MW光伏项目,项目成员,昝晓萌
28,TZ-2023-SX-000368,山西闻喜开奥100MW光伏项目,项目成员,王觉非
29,TZ-2023-SX-000368,山西闻喜开奥100MW光伏项目,项目成员,史晓兵
30,TZ-2023-SX-000368,山西闻喜开奥100MW光伏项目,项目成员,史丹阳
31,TZ-2023-SX-000368,山西闻喜开奥100MW光伏项目,项目成员,吴奕江
32,TZ-2023-SX-000368,山西闻喜开奥100MW光伏项目,项目成员,邓栗
33,TZ-2023-SX-000368,山西闻喜开奥100MW光伏项目,项目成员,林琼
34,TZ-2023-SX-000368,山西闻喜开奥100MW光伏项目,项目成员,朱小红
35,TZ-2023-SX-000368,山西闻喜开奥100MW光伏项目,项目成员,张远
36,TZ-2023-SX-000368,山西闻喜开奥100MW光伏项目,项目成员,覃鸿念
37,TZ-2023-SX-000368,山西闻喜开奥100MW光伏项目,项目成员,邵本初
38,-,广西壮族自治区贵港市平南县储能项目,项目经理(主责),杨伟鹏
39,TZ-2023-SX-000368,山西闻喜开奥100MW光伏项目,项目成员,唐亦之
40,TZ-2023-SX-000368,山西闻喜开奥100MW光伏项目,项目成员,刘曲
41,TZ-2023-SX-000368,山西闻喜开奥100MW光伏项目,项目成员,宋艺涓
42,TZ-2023-SX-000368,山西闻喜开奥100MW光伏项目,项目成员,郭婧
43,TZ-2023-SX-000368,山西闻喜开奥100MW光伏项目,项目成员,韩文涛
44,TZ-2023-SX-000368,山西闻喜开奥100MW光伏项目,项目成员,方晨
45,TZ-2023-SX-000368,山西闻喜开奥100MW光伏项目,项目成员,邢智全
46,TZ-2025-XJ-000469,新疆哈密巴里坤哈萨克自治县500MW风电项目,项目成员,郭婧
47,TZ-2023-HB-000105,湖北石首开奥50MW/100MWh储能项目,项目部(成员),覃超
48,TZ-2023-HB-000062,湖北石首团山寺70MW光伏项目,项目部(成员),覃超
49,TZ-2023-GD-600095,广东梅州粤智安流镇70MW+横陂镇57MW光伏项目,项目经理,王少攀
50,TZ-2023-GD-000096,广东梅州粤智横陂镇57MW光伏项目,项目经理,王少攀
51,TZ-2023-GD-000095,广东梅州粤智安流镇70MW光伏项目,项目经理,王少攀
52,TZ-2022-QH-000053,青海乌图美仁初开50MW光伏项目,项目部(经理),张星星
53,TZ-2025-GD-000490,广东韶关翁源县新江100MW风电项目,项目成员,杨雅婷
54,TZ-2025-GD-000490,广东韶关翁源县新江100MW风电项目,项目成员,朱小红
55,TZ-2025-GD-000490,广东韶关翁源县新江100MW风电项目,项目成员,张远
56,TZ-2025-GD-000494,广东韶关翁源县坝仔100MW风电项目,项目成员,杨雅婷
57,TZ-2025-GD-000494,广东韶关翁源县坝仔100MW风电项目,项目成员,朱小红
58,TZ-2025-GD-000494,广东韶关翁源县坝仔100MW风电项目,项目成员,张远
59,TZ-2025-GD-000494,广东韶关翁源县坝仔100MW风电项目,项目成员,史晓兵
60,TZ-2025-GD-000494,广东韶关翁源县坝仔100MW风电项目,项目成员,贺嘉慧
61,TZ-2025-GD-000490,广东韶关翁源县新江100MW风电项目,项目成员,史晓兵
